currency_pair,forecast_horizon,look_back,units,batch_size,learning_rate,epochs_run,threshold,accuracy,precision,recall,f1_score,specificity,profit_accuracy,transaction_frequency
AUDJPY,1,45.0,66.0,86.0,0.002712027921304655,37.0,0.7257655262947083,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
AUDNZD,1,34.0,188.0,95.0,0.004211688010962797,26.0,0.5117363929748535,0.9230769230769231,1.0,0.9230769230769231,0.96,0.0,0.0,0.0
AUDUSD,1,43.0,52.0,60.0,0.004766520364594855,39.0,0.7666674852371216,0.75,1.0,0.75,0.8571428571428571,0.0,0.0,0.0
CADJPY,1,40.0,54.0,111.0,0.009953622303454686,42.0,0.46067014336586,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
EURAUD,1,45.0,152.0,113.0,0.0008080534866215988,17.0,0.5449890494346619,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
EURCAD,1,42.0,84.0,89.0,0.008069825599376235,11.0,0.5820958614349365,0.8,1.0,0.8,0.8888888888888888,0.0,0.0,0.0
GBPAUD,1,35.0,141.0,70.0,0.0026383948691915604,13.0,0.41586390137672424,0.08333333333333333,0.09090909090909091,0.5,0.15384615384615385,0.0,0.0,0.0
NZDUSD,1,40.0,74.0,25.0,0.0029204655794775854,43.0,0.549647331237793,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,0.0,0.0,0.0
USDCAD,1,46.0,95.0,77.0,0.0071065933623005815,38.0,0.5149868130683899,1.0,0.0,0.0,0.0,1.0,0.0,0.0
USDNOK,1,45.0,105.0,124.0,0.0005748642074247383,44.0,0.14140187203884125,0.5,0.0,0.0,0.0,0.5,0.0,0.0
USDJPY,1,46.0,136.0,46.0,0.003088289162352519,34.0,0.38831382989883423,1.0,0.0,0.0,0.0,1.0,0.0,0.0
USDSGD,1,46.0,139.0,26.0,0.001073515490368074,37.0,0.6263951659202576,1.0,0.0,0.0,0.0,1.0,0.0,0.0
USDZAR,1,46.0,151.0,115.0,0.0028228935822591544,37.0,0.5574929714202881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURGBP,1,45.0,151.0,65.0,0.0053500078949714714,29.0,0.5830701589584351,0.5,0.0,0.0,0.0,0.5,0.0,0.0
EURUSD,1,33.0,162.0,124.0,0.0002907444902120284,33.0,0.45681264996528625,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
EURJPY,1,41.0,135.0,123.0,0.0024817259590322405,22.0,0.48999062180519104,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
GBPCHF,1,41.0,182.0,54.0,0.009010769847779225,12.0,0.5365745425224304,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0
GBPUSD,1,30.0,118.0,122.0,0.008376677508976258,28.0,0.6570490002632141,0.8125,0.8666666666666667,0.9285714285714286,0.896551724137931,0.0,0.0,0.0
average,average,41.27777777777778,121.38888888888889,84.72222222222223,0.004236482202258904,30.11111111111111,0.5283069014549255,0.5803240740740742,0.4420875420875421,0.36622914122914124,0.38455171052872206,0.2436914936914937,0.0,0.0
